archivo;tabla;filas;estado_anterior;dictamen_final;bloquea_presentacion;decision_final;evidencia_resumen
producto_fiscal.csv;PRODUCTO_FISCAL;1000;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Columnas constantes: iva, tipo_iva, iva_mayor_costo, iva_producto
producto_ia.csv;PRODUCTO_IA;11;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Columnas totalmente vacias: observacion_ia | Columnas constantes: observacion_ia
producto_inventario.csv;PRODUCTO_INVENTARIO;373;OK_PILOTO;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;"Limpia; se retiró campo ambiguo alternativa / alternativa_cantidad."
producto_keyword.csv;PRODUCTO_KEYWORD;1038;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Sin anomalías generales en revisión ligera.
producto_logistica.csv;PRODUCTO_LOGISTICA;255;OK_CON_OBSERVACION_NO_BLOQUEA;CERRADA_CON_OBSERVACION_DOCUMENTADA;NO;La tabla queda cerrada para el piloto. La observación corresponde a baja cobertura de campos logísticos en la muestra, no a error estructural del modelo.;Revisión ligera ejecutada. La observación corresponde a baja cobertura o campos vacíos, no a error estructural. No bloquea el cierre del piloto. Detalle: Tiene vacios en posibles llaves: {'codigo_arancelario': 245}. | Columnas totalmente vacias: tipo_empaque, arancel | Columnas con 95% o mas vacios: procedencia (99.6%), codigo_arancelario (96.1%) | Columnas constantes: tipo_empaque, arancel
producto_media.csv;PRODUCTO_MEDIA;1208;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Sin anomalías generales en revisión ligera.
producto_parametro.csv;PRODUCTO_PARAMETRO;5807;OK_PILOTO;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Tabla repetible confirmada.
producto_precio.csv;PRODUCTO_PRECIO;6970;OK_PILOTO;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Precios verticalizados por fuente.
producto_precio_competencia.csv;PRODUCTO_PRECIO_COMPETENCIA;0;VACIA_EXPLICADA_NO_BLOQUEA;VACIA_EXPLICADA_EN_MUESTRA;NO;La tabla queda generada dentro del modelo, pero sin registros materializados en la muestra de 1000 productos. No bloquea el cierre del piloto.;"Tabla generada por el modelo, pero sin filas en la muestra. No bloquea el piloto; indica que no hubo precios de competencia materializables en esta muestra."
producto_proveedor.csv;PRODUCTO_PROVEEDOR;1844;OK_PILOTO_CON_OBSERVACION;CERRADA_CON_OBSERVACION_DOCUMENTADA;NO;La tabla queda cerrada para el piloto con observación documentada. No se inventaron proveedores ni se forzaron llaves cuando la fuente no las aportaba.;"Conserva trazabilidad; tiene observaciones menores sin inventar proveedor."
producto_visibilidad.csv;PRODUCTO_VISIBILIDAD;768;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Columnas totalmente vacias: precio_visible, verde_forzado_h | Columnas con 95% o mas vacios: publicidad (96.4%) | Columnas constantes: precio_visible, verde_forzado_h
